texts,labels
都到这里了，甘雨小姐总不会又要回去了吧？,4
我觉得心海很擅长劝说别人，难道这也是一种工作能力吗…,4
这不是那位多星缺辰天君吗？怎么又在这里碰到了。,4
这些丘丘人究竟是怎么回事？,4
哎？又要到营地去吗？不是在这里聊吗？,4
为什么迪卢克和凯亚明明是很相似的两个人，关系却不太好呢？,4
而且，这附近居然只有他一个人？,4
可是，要想结束轮回，还要主体产生自我意识吧。,4
呼…妮露，你见到艾尔海森了吗？,4
咦，你已经不会再难受了吗？真的吗？,4
咦？这是哪里，刚才…刚才发生什么了？,4
哇，他们讨论的事情好可疑啊。我没听错吧？那种刁钻的知识，除了我们谁会买。知识是可以买的吗？,4
那究竟是还剩哪一种事啊！,4
所以…你们找到了塞萨尔？,4
纳西妲，我们这是在哪儿…,4
不过，我觉得第一位学者的愿望肯定不是成为学者吧？,4
不知道可莉一个人关禁闭，会不会无聊…,4
她应该就是维卡斯说的卡莉娜了吧？,4
啊？我的牙并没有打颤呀？,4
感觉在璃月的史料里属于冷门的一派呢，有什么值得注意的地方吗？,4
噫！她看上去好吓人！平藏，现在周围应该没有什么小道具吧？,4
说起来，嘉玛小姐与塞萨尔是怎么认识的呢？,4
咦，提纳里，你怎么在这里？柯莱她人呢？,4
知易…其实也有另一面吗？,4
欸？强制停止！难道他们已经被抓起来了？,4
这么神奇的壶，居然都只是小玩意吗…,4
欸？什么意思，你不会已经悄悄找到那副钗子了吧？,4
刚才琳妮特称呼嘉玛为真正的怪盗貂，这是怎么回事？,4
虽然不太明白，但好像提到了迪卢克以前的战果？,4
咦，这里怎么多出了一个公告板？上面还画着...蕈兽？,4
哦！我知道了，如果能飞的就是魔女，那凯亚也在车上，凯亚也在飞，他是什么？,4
椰羊…究竟是什么样的生物呢…,4
你、你是不是在想，如果人数不多，就一个人去把他们全打倒？,4
钟离说是说不着急，现在…应该…还赶得上吧？,4
也就是说，这些人没带行李？,4
那眼狩令，什么时候才能结束呢？,4
那，那个人，难道就是…？！,4
是安柏！你是来处理委托的吗？,4
不过她旁边还有其他人，他们也在做梦吗？,4
欸？！怎么可能？虽然他今天好像是有点太正经了…但五郎是好人呀！,4
那就是传闻中击退了古神的旅者吗…,4
哦，所以她…是去冒险了？,4
当时在法庭上只是听犯罪组织把它称作原始胎海之水，那到底是一种什么样的东西呀？,4
欸？这个…漂浮着的小小的东西是什么？,4
我也看看…是吗？我怎么觉得是一张饼被人咬了一口的样子。,4
古菜？这道窝窝头，历史这么悠久吗？,4
那就说明小郁来过这儿。可前面是个岔路口…我们该去哪边找呢…,4
怎么了神子？你的表情看起来有点吓人。,4
而且水神大人的开场白也有点…呃…不知道该说用力过猛还是什么…,4
他说的，该不会就是愚人众吧？,4
咦？北斗不在这里了吗？她回船上去了？,4
咦…那个人，好像是之前和我们一起调查西拉杰的风纪官？,4
难道是瞒着我们偷偷逃走了吗？,4
对哦，你真聪明！那你要思考些什么？,4
可是我们怎么知道你的情报是真的呢？或者说，你怎么会刚好有这样的情报在手上呢？,4
怎么回事…迪希雅你、你到底跟谁一伙呀？,4
咦…为什么要弄得那么麻烦…,4
刚才你为什么要把名额留给优菈呀？,4
是外交使团吗…来自璃月港吗？还是稻妻城？,4
不知道香菱准备得怎么样了，我们要不要去看看她的情况？,4
可是，这东西要怎么用呀，需要多大的力气才能操纵呢…,4
然后就到了这里？好远呀，这可是须弥…,4
她会知道什么店卖的东西最好吃吗？,4
不过说起来，他们想要对奥赛尔做什么？唔…,4
唔？为什么？人偶不会这样做吗？,4
那这不就是你家吗？为什么会困住你？难道，迷宫不想你进去？,4
不过到处都没有看到她，她究竟在哪里呢？,4
话说，刚才甘雨说的去修行是指什么？,4
式大将是在猜测达达利亚的想法吗？,4
虽然说了要找明论派，但仔细一想，好像没有合适的人选…,4
削弱诅咒…这里为什么会有这样神奇的效果呢？,4
毕竟散兵那家伙已经被我们打败，沦为阶下囚了。一般来说这种身份的人，他的信息肯定都是绝密信息对吧？,4
又有丘丘人围上来了！是被刚才的光亮吸引了吗？,4
原来是她，她出什么事了吗？,4
可是，他为什么能做到这些？,4
欸？只剩下三个人了吗？提纳里弃权，赛诺完成比赛…对了，阿帽呢？,4
这个碎掉的瓶子…难道是平板车通过的时候撞到的？,4
这样吗…难道只有我和旅行者才有…,4
还会发生这种事吗？神之眼失去控制…我还是头一次听说，好奇怪。,4
原神？以前好像从来没听过这个词…,4
秋津游艺很重要吗？为什么要把妖力都用来修建那个呢？,4
对哦。按理说神子对轻小说事业，不是非常关心的吗？但她却好像对这本书并不想多说的样子。,4
以前的案件也是随机挑选目标吗？,4
沙暴？！那后来发生了什么呀？,4
咦，那不是留云借风真君吗？她怎么来了？,4
你是说，仪式上出现的只是人偶，而真正的雷电将军是旅行者后来见到的那个？,4
还是说…砂糖想要的是更隆重、严肃一点的？,4
你说我们现在再叫他，他会出现吗？,4
那、那我们喝不到他泡的茶了吗？,4
七七…会不会需要吸血呢？,4
难道说…是仅此一张的超级强力卡牌？,4
说得也有道理呢…我们还没试过捕捉蕈兽，也不知道指挥蕈兽战斗的要点。,4
海芭夏，你开心过头啦。话说你居然已经离开道成林了吗，不继续在森林里修行啦？,4
那不就是阿娜耶的父亲吗？,4
可是，现在我们不是单纯在打发时间吗？这时候要考虑什么吗？,4
这么说来，你们二少爷呢？,4
原来违背初衷是这个意思，那你需要我们做什么呢？,4
听说，送了见面礼的客人，都能得到一些好处…那我们有份吗？,4
咦，山洞外怎么变成了这样？,4
所以莎拉小姐要带的话是？,4
我们在调查跟卡牌怪盗有关的事件，不知道你们最近有没有见到过收集七圣召唤牌背的人？,4
欸？我们这些人的关系这么虚假吗？,4
欸，那边好像有人在了…那个身影难道是…？,4
雷泽的鼻子特别灵，那个魔王连这一点都算到了吗？,4
你、你已经都猜到了？这两件事果然还是有关联？,4
想要脱困至少就要先搞清楚究竟发生了什么，也就是真相…,4
啊——！原来那天的可疑人影是罗莎莉亚！,4
刚才到底怎么了，柯莱她不要紧吧？她走得可真快，现在都已经看不见了。,4
一路过来都没看见阿贝多，奇怪，他跑哪儿去了？,4
欸？它停在水边了，没有下去…,4
…所以你怀疑，是贤者们所为？,4
所以说，你是不是被什么人打败了，正琢磨着怎么挽回面子？,4
我有点好奇，既然优菈是劳伦斯家的人，为什么琴团长会找我们，而不是直接找这个优菈？,4
而且他跟我们分开之后，为什么是去袭击乔尔？,4
怎么了，还有什么心事吗？要不要跟我们说说？,4
总觉得很眼熟，是不是在哪里看到过…,4
奇怪，明明显示珐露珊在这附近…她去哪里了呢？,4
决斗…代理人？是一种职业吗？,4
那我们要怎么才能接近大贤者的办公室呢？,4
不过…喂，跟这个赛诺一起行动，真的没关系吗？你好像还不是很信任他。,4
唔哇…这些是什么东西啊，怪物好像都受到了它的影响…,4
奥兹看起来有点紧张？是我的错觉吗？,4
我突然有点担心，做这样的事，你们在天领奉行的眼里，不就是共犯了吗？,4
按照他的性格，难道是祝福大家…来年也能喝到好酒？,4
奇怪，你是眼狩令的执行者呀，为什么会对眼狩令不满呢？,4
为什么你的声音那么没有底气？,4
他…他是谁啊，艾尔海森，你说他是大风纪官？,4
不过总觉得，从绝云间回来以后，就再没遇到过找麻烦的千岩军了，这是怎么回事呢？,4
有没有一种可能，他不是来搞破坏的，而是来吓人的？,4
这么说来它们的价值都差不多吗？,4
这些家伙好像都被强化过了，他们的力量来源…是不是和那边那副盔甲有点关系？,4
感觉是一个很厉害的人…但为什么你不想再见到他呢？,4
而且还是碎掉的，这个盒子难道是个化妆盒吗？,4
不过，为什么要选酱菜煎肉当见面礼呢？我都没听过这道菜…,4
咦？菲谢尔的说话方式，是不是有点不像平常的那种…？,4
走到头了？这里好像什么也没有…,4
这里？看起来有些平平无奇，这里几百年前也是这样么？,4
好吧，那罗莎莉亚为什么会在这里？,4
莱依拉！你这边有什么进展吗？,4
但就算不能拿，近距离看看应该没问题吧？,4
绫人说的那个用过很多次的办法，一定就是指把水洒在这幅画上吧？,4
亲自验收是很重要的事吗？,4
对了，可以再借用一样东西吗？,4
是因为这个理由，无风的烬寂海，才被斯坦利说成了最恐怖的绝境吗？,4
这样啊…那要怎么才能找到那个人呢？,4
怎么说…感觉稍微有些普通？,4
刚才那只，居然是在等它吗？,4
唔，这么一说，你身上好像有股山地水果的清香…啊！是去了有落落莓的山地吗？,4
说起来，艾尔海森是什么时候把即将录入虚空的罐装知识给掉包的呀？,4
